,class,section,day_times,room,instructor
75,15244,01-LEC Regular,TuTh 11:30AM - 1:00PM,D2 LECT2,Jokubas Ziburkus
76,14798,02-LEC Regular,MoWe 2:30PM - 4:00PM,SEC 101,Jokubas Ziburkus
77,14165,01-LEC Regular,MoWe 4:00PM - 5:30PM,GAR G201,Sanghyuk Chung
78,14867,01-LEC Regular,TuTh 10:00AM - 11:30AM,SR2 129,Weiyi Peng
79,19273,01-LEC Regular,MoWe 2:30PM - 4:00PM,S 115,Adam Stuckert
80,24583,01-LEC Regular,MoWeFr 9:00AM - 10:00AM,MH 160,Steven C Pennings
81,14952,01-PRA Regular,Fr 10:00AM - 11:30AM,CBB 122,"Jenifer Gifford, Chin-Yo Lin"
82,14953,01-LEC Regular,MoWe 4:00PM - 5:30PM,SEC 201,Monique L Ogletree
83,15253,01-LEC Regular,TuTh 2:30PM - 4:00PM,ARC 150,Tejendra Gill
84,15973,01-LEC Regular,Th 4:00PM - 7:00PM,CBB 104,Peggy Lee Determeyer
85,24584,01-LEC Regular,TuTh 10:00AM - 11:30AM,CBB 106,Dan Graur
86,12371,01-LEC Regular,MoWe 5:30PM - 7:00PM,SEC 101,Michael A Rea
87,13752,02-LEC Regular,MoWe 10:00AM - 11:30AM,SEC 101,Michael A Rea
88,14819,01-LEC Regular,TuTh 1:00PM - 2:30PM,SEC 104,Arne Lekven
89,14421,01-SEM Regular,Fr 11:00AM - 12:00PM,S 201,Arne Lekven
90,16205,02-SEM Regular,We 5:00PM - 6:00PM,S 207,Weiyi Peng
91,11201,01-SEM Regular,Th 11:30AM - 1:30PM,STL 219,To be Announced
92,16624,02-DST Regular,TBA,TBA,Brigitte Dauwalder
93,16630,03-DST Regular,TBA,TBA,Kerri M Crawford
94,16932,04-DST Regular,TBA,TBA,Weiyi Peng
95,17000,05-DST Regular,TBA,TBA,Seema Khurana
96,18762,6-DST Regular,TBA,TBA,Qin Feng
97,18763,7-DST Regular,TBA,TBA,Yu Liu
98,18822,8-DST Regular,TBA,TBA,Arne Lekven
99,11204,01-IND Regular,TBA,TBA,Weiyi Peng
100,16814,06-IND Regular,TBA,TBA,Rebecca A Zufall
101,16815,07-IND Regular,TBA,TBA,Erin S Kelleher
102,16816,08-IND Regular,TBA,TBA,Dan Graur
103,16817,09-IND Regular,TBA,TBA,Chin-Yo Lin
104,19391,10-IND Regular,TBA,TBA,Debora Frigi Rodrigues
105,16855,04-IND Regular,TBA,TBA,Qin Feng
106,16857,06-IND Regular,TBA,TBA,Brigitte Dauwalder
107,11690,01-DST Regular,TBA,TBA,Amy Sater
108,16859,02-DST Regular,TBA,TBA,Masaya Fujita
